timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.gregorian.lunarSighting,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.month.days,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,date.hijri.holidays,date.hijri.method,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"06:53 (+01)","08:27 (+01)","13:31 (+01)","16:06 (+01)","18:24 (+01)","18:29 (+01)","19:48 (+01)","06:43 (+01)","01:26 (+01)","23:05 (+01)","03:46 (+01)","01 Jan 2025",1735718461,01-01-2025,DD-MM-YYYY,01,Wednesday,1,January,2025,AD,"Anno Domini",,01-07-1446,DD-MM-YYYY,1,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Beginning of the holy months",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:53 (+01)","08:28 (+01)","13:31 (+01)","16:07 (+01)","18:25 (+01)","18:30 (+01)","19:49 (+01)","06:43 (+01)","01:26 (+01)","23:06 (+01)","03:47 (+01)","02 Jan 2025",1735804861,02-01-2025,DD-MM-YYYY,02,Thursday,1,January,2025,AD,"Anno Domini",,02-07-1446,DD-MM-YYYY,2,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:28 (+01)","13:32 (+01)","16:07 (+01)","18:26 (+01)","18:31 (+01)","19:50 (+01)","06:44 (+01)","01:27 (+01)","23:07 (+01)","03:47 (+01)","03 Jan 2025",1735891261,03-01-2025,DD-MM-YYYY,03,Friday,1,January,2025,AD,"Anno Domini",,03-07-1446,DD-MM-YYYY,3,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",Lailat-ul-Ragha'ib,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:28 (+01)","13:32 (+01)","16:08 (+01)","18:27 (+01)","18:32 (+01)","19:51 (+01)","06:44 (+01)","01:27 (+01)","23:07 (+01)","03:47 (+01)","04 Jan 2025",1735977661,04-01-2025,DD-MM-YYYY,04,Saturday,1,January,2025,AD,"Anno Domini",,04-07-1446,DD-MM-YYYY,4,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:28 (+01)","13:33 (+01)","16:09 (+01)","18:28 (+01)","18:33 (+01)","19:51 (+01)","06:44 (+01)","01:28 (+01)","23:08 (+01)","03:48 (+01)","05 Jan 2025",1736064061,05-01-2025,DD-MM-YYYY,05,Sunday,1,January,2025,AD,"Anno Domini",,05-07-1446,DD-MM-YYYY,5,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:28 (+01)","13:33 (+01)","16:09 (+01)","18:28 (+01)","18:33 (+01)","19:52 (+01)","06:44 (+01)","01:28 (+01)","23:08 (+01)","03:48 (+01)","06 Jan 2025",1736150461,06-01-2025,DD-MM-YYYY,06,Monday,1,January,2025,AD,"Anno Domini",,06-07-1446,DD-MM-YYYY,6,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:28 (+01)","13:34 (+01)","16:10 (+01)","18:29 (+01)","18:34 (+01)","19:53 (+01)","06:44 (+01)","01:29 (+01)","23:09 (+01)","03:48 (+01)","07 Jan 2025",1736236861,07-01-2025,DD-MM-YYYY,07,Tuesday,1,January,2025,AD,"Anno Domini",,07-07-1446,DD-MM-YYYY,7,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:28 (+01)","13:34 (+01)","16:11 (+01)","18:30 (+01)","18:35 (+01)","19:54 (+01)","06:44 (+01)","01:29 (+01)","23:09 (+01)","03:49 (+01)","08 Jan 2025",1736323261,08-01-2025,DD-MM-YYYY,08,Wednesday,1,January,2025,AD,"Anno Domini",,08-07-1446,DD-MM-YYYY,8,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Urs of Mawlāna Shaykh Nāzim al-Haqqāni (ق)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:55 (+01)","08:28 (+01)","13:34 (+01)","16:12 (+01)","18:31 (+01)","18:36 (+01)","19:54 (+01)","06:45 (+01)","01:29 (+01)","23:10 (+01)","03:49 (+01)","09 Jan 2025",1736409661,09-01-2025,DD-MM-YYYY,09,Thursday,1,January,2025,AD,"Anno Domini",,09-07-1446,DD-MM-YYYY,9,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:55 (+01)","08:28 (+01)","13:35 (+01)","16:13 (+01)","18:32 (+01)","18:37 (+01)","19:55 (+01)","06:45 (+01)","01:30 (+01)","23:11 (+01)","03:49 (+01)","10 Jan 2025",1736496061,10-01-2025,DD-MM-YYYY,10,Friday,1,January,2025,AD,"Anno Domini",,10-07-1446,DD-MM-YYYY,10,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
