timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.gregorian.lunarSighting,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.month.days,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,date.hijri.holidays,date.hijri.method,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"06:55 (+01)","08:28 (+01)","13:35 (+01)","16:13 (+01)","18:33 (+01)","18:38 (+01)","19:56 (+01)","06:45 (+01)","01:30 (+01)","23:11 (+01)","03:49 (+01)","11 Jan 2025",1736582461,11-01-2025,DD-MM-YYYY,11,Saturday,1,January,2025,AD,"Anno Domini",,11-07-1446,DD-MM-YYYY,11,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:55 (+01)","08:28 (+01)","13:36 (+01)","16:14 (+01)","18:34 (+01)","18:39 (+01)","19:57 (+01)","06:45 (+01)","01:31 (+01)","23:12 (+01)","03:50 (+01)","12 Jan 2025",1736668861,12-01-2025,DD-MM-YYYY,12,Sunday,1,January,2025,AD,"Anno Domini",,12-07-1446,DD-MM-YYYY,12,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:55 (+01)","08:27 (+01)","13:36 (+01)","16:15 (+01)","18:35 (+01)","18:40 (+01)","19:58 (+01)","06:45 (+01)","01:31 (+01)","23:12 (+01)","03:50 (+01)","13 Jan 2025",1736755261,13-01-2025,DD-MM-YYYY,13,Monday,1,January,2025,AD,"Anno Domini",,13-07-1446,DD-MM-YYYY,13,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Birth of Sayyidina `Ali ibn Abi Talib (ر)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:27 (+01)","13:36 (+01)","16:16 (+01)","18:36 (+01)","18:41 (+01)","19:58 (+01)","06:44 (+01)","01:31 (+01)","23:13 (+01)","03:50 (+01)","14 Jan 2025",1736841661,14-01-2025,DD-MM-YYYY,14,Tuesday,1,January,2025,AD,"Anno Domini",,14-07-1446,DD-MM-YYYY,14,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:27 (+01)","13:37 (+01)","16:17 (+01)","18:36 (+01)","18:41 (+01)","19:59 (+01)","06:44 (+01)","01:32 (+01)","23:13 (+01)","03:50 (+01)","15 Jan 2025",1736928061,15-01-2025,DD-MM-YYYY,15,Wednesday,1,January,2025,AD,"Anno Domini",,15-07-1446,DD-MM-YYYY,15,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Urs of Sayyidina Jāfar as-Sādiq (ق),Urs of Zaynab bint Ali (ر)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:27 (+01)","13:37 (+01)","16:17 (+01)","18:37 (+01)","18:42 (+01)","20:00 (+01)","06:44 (+01)","01:32 (+01)","23:14 (+01)","03:50 (+01)","16 Jan 2025",1737014461,16-01-2025,DD-MM-YYYY,16,Thursday,1,January,2025,AD,"Anno Domini",,16-07-1446,DD-MM-YYYY,16,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:27 (+01)","13:37 (+01)","16:18 (+01)","18:38 (+01)","18:43 (+01)","20:01 (+01)","06:44 (+01)","01:32 (+01)","23:14 (+01)","03:50 (+01)","17 Jan 2025",1737100861,17-01-2025,DD-MM-YYYY,17,Friday,1,January,2025,AD,"Anno Domini",,17-07-1446,DD-MM-YYYY,17,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:26 (+01)","13:38 (+01)","16:19 (+01)","18:39 (+01)","18:44 (+01)","20:02 (+01)","06:44 (+01)","01:33 (+01)","23:15 (+01)","03:51 (+01)","18 Jan 2025",1737187261,18-01-2025,DD-MM-YYYY,18,Saturday,1,January,2025,AD,"Anno Domini",,18-07-1446,DD-MM-YYYY,18,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:54 (+01)","08:26 (+01)","13:38 (+01)","16:20 (+01)","18:40 (+01)","18:45 (+01)","20:03 (+01)","06:44 (+01)","01:33 (+01)","23:15 (+01)","03:51 (+01)","19 Jan 2025",1737273661,19-01-2025,DD-MM-YYYY,19,Sunday,1,January,2025,AD,"Anno Domini",,19-07-1446,DD-MM-YYYY,19,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:53 (+01)","08:26 (+01)","13:38 (+01)","16:21 (+01)","18:41 (+01)","18:46 (+01)","20:03 (+01)","06:43 (+01)","01:33 (+01)","23:16 (+01)","03:51 (+01)","20 Jan 2025",1737360061,20-01-2025,DD-MM-YYYY,20,Monday,1,January,2025,AD,"Anno Domini",,20-07-1446,DD-MM-YYYY,20,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:53 (+01)","08:25 (+01)","13:38 (+01)","16:22 (+01)","18:42 (+01)","18:47 (+01)","20:04 (+01)","06:43 (+01)","01:34 (+01)","23:17 (+01)","03:51 (+01)","21 Jan 2025",1737446461,21-01-2025,DD-MM-YYYY,21,Tuesday,1,January,2025,AD,"Anno Domini",,21-07-1446,DD-MM-YYYY,21,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:53 (+01)","08:25 (+01)","13:39 (+01)","16:23 (+01)","18:43 (+01)","18:48 (+01)","20:05 (+01)","06:43 (+01)","01:34 (+01)","23:17 (+01)","03:51 (+01)","22 Jan 2025",1737532861,22-01-2025,DD-MM-YYYY,22,Wednesday,1,January,2025,AD,"Anno Domini",,22-07-1446,DD-MM-YYYY,22,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:53 (+01)","08:24 (+01)","13:39 (+01)","16:23 (+01)","18:44 (+01)","18:49 (+01)","20:06 (+01)","06:43 (+01)","01:34 (+01)","23:18 (+01)","03:51 (+01)","23 Jan 2025",1737619261,23-01-2025,DD-MM-YYYY,23,Thursday,1,January,2025,AD,"Anno Domini",,23-07-1446,DD-MM-YYYY,23,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:52 (+01)","08:24 (+01)","13:39 (+01)","16:24 (+01)","18:45 (+01)","18:50 (+01)","20:07 (+01)","06:42 (+01)","01:34 (+01)","23:18 (+01)","03:51 (+01)","24 Jan 2025",1737705661,24-01-2025,DD-MM-YYYY,24,Friday,1,January,2025,AD,"Anno Domini",,24-07-1446,DD-MM-YYYY,24,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:52 (+01)","08:23 (+01)","13:39 (+01)","16:25 (+01)","18:46 (+01)","18:51 (+01)","20:08 (+01)","06:42 (+01)","01:35 (+01)","23:18 (+01)","03:51 (+01)","25 Jan 2025",1737792061,25-01-2025,DD-MM-YYYY,25,Saturday,1,January,2025,AD,"Anno Domini",,25-07-1446,DD-MM-YYYY,25,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:51 (+01)","08:23 (+01)","13:40 (+01)","16:26 (+01)","18:47 (+01)","18:52 (+01)","20:08 (+01)","06:41 (+01)","01:35 (+01)","23:19 (+01)","03:51 (+01)","26 Jan 2025",1737878461,26-01-2025,DD-MM-YYYY,26,Sunday,1,January,2025,AD,"Anno Domini",,26-07-1446,DD-MM-YYYY,26,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:51 (+01)","08:22 (+01)","13:40 (+01)","16:27 (+01)","18:48 (+01)","18:53 (+01)","20:09 (+01)","06:41 (+01)","01:35 (+01)","23:19 (+01)","03:51 (+01)","27 Jan 2025",1737964861,27-01-2025,DD-MM-YYYY,27,Monday,1,January,2025,AD,"Anno Domini",,27-07-1446,DD-MM-YYYY,27,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",Lailat-ul-Miraj,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:51 (+01)","08:22 (+01)","13:40 (+01)","16:28 (+01)","18:49 (+01)","18:54 (+01)","20:10 (+01)","06:41 (+01)","01:35 (+01)","23:20 (+01)","03:51 (+01)","28 Jan 2025",1738051261,28-01-2025,DD-MM-YYYY,28,Tuesday,1,January,2025,AD,"Anno Domini",,28-07-1446,DD-MM-YYYY,28,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:50 (+01)","08:21 (+01)","13:40 (+01)","16:28 (+01)","18:50 (+01)","18:55 (+01)","20:11 (+01)","06:40 (+01)","01:35 (+01)","23:20 (+01)","03:51 (+01)","29 Jan 2025",1738137661,29-01-2025,DD-MM-YYYY,29,Wednesday,1,January,2025,AD,"Anno Domini",,29-07-1446,DD-MM-YYYY,29,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:50 (+01)","08:20 (+01)","13:40 (+01)","16:29 (+01)","18:51 (+01)","18:56 (+01)","20:12 (+01)","06:40 (+01)","01:36 (+01)","23:21 (+01)","03:51 (+01)","30 Jan 2025",1738224061,30-01-2025,DD-MM-YYYY,30,Thursday,1,January,2025,AD,"Anno Domini",,30-07-1446,DD-MM-YYYY,30,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:49 (+01)","08:20 (+01)","13:41 (+01)","16:30 (+01)","18:52 (+01)","18:57 (+01)","20:13 (+01)","06:39 (+01)","01:36 (+01)","23:21 (+01)","03:50 (+01)","31 Jan 2025",1738310461,31-01-2025,DD-MM-YYYY,31,Friday,1,January,2025,AD,"Anno Domini",,01-08-1446,DD-MM-YYYY,1,"Al Juma'a",الجمعة,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:48 (+01)","08:19 (+01)","13:41 (+01)","16:31 (+01)","18:53 (+01)","18:58 (+01)","20:14 (+01)","06:38 (+01)","01:36 (+01)","23:22 (+01)","03:50 (+01)","01 Feb 2025",1738396861,01-02-2025,DD-MM-YYYY,01,Saturday,2,February,2025,AD,"Anno Domini",,02-08-1446,DD-MM-YYYY,2,"Al Sabt",السبت,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:48 (+01)","08:18 (+01)","13:41 (+01)","16:32 (+01)","18:54 (+01)","18:59 (+01)","20:14 (+01)","06:38 (+01)","01:36 (+01)","23:22 (+01)","03:50 (+01)","02 Feb 2025",1738483261,02-02-2025,DD-MM-YYYY,02,Sunday,2,February,2025,AD,"Anno Domini",,03-08-1446,DD-MM-YYYY,3,"Al Ahad",الاحد,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae","Birth of Sayyidina Husayn ibn `Ali (ر)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:47 (+01)","08:17 (+01)","13:41 (+01)","16:32 (+01)","18:55 (+01)","19:00 (+01)","20:15 (+01)","06:37 (+01)","01:36 (+01)","23:22 (+01)","03:50 (+01)","03 Feb 2025",1738569661,03-02-2025,DD-MM-YYYY,03,Monday,2,February,2025,AD,"Anno Domini",,04-08-1446,DD-MM-YYYY,4,"Al Athnayn",الاثنين,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae","Birth of Sayyidina Abbas ibn `Ali (ر)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:47 (+01)","08:17 (+01)","13:41 (+01)","16:33 (+01)","18:56 (+01)","19:01 (+01)","20:16 (+01)","06:37 (+01)","01:36 (+01)","23:23 (+01)","03:50 (+01)","04 Feb 2025",1738656061,04-02-2025,DD-MM-YYYY,04,Tuesday,2,February,2025,AD,"Anno Domini",,05-08-1446,DD-MM-YYYY,5,"Al Thalaata",الثلاثاء,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae","Birth of Sayyidina `Ali ibn Husayn (ر),Urs of Imam Shamil al-Daghestani (ق)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:46 (+01)","08:16 (+01)","13:41 (+01)","16:34 (+01)","18:57 (+01)","19:02 (+01)","20:17 (+01)","06:36 (+01)","01:36 (+01)","23:23 (+01)","03:49 (+01)","05 Feb 2025",1738742461,05-02-2025,DD-MM-YYYY,05,Wednesday,2,February,2025,AD,"Anno Domini",,06-08-1446,DD-MM-YYYY,6,"Al Arba'a",الاربعاء,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:45 (+01)","08:15 (+01)","13:41 (+01)","16:35 (+01)","18:58 (+01)","19:03 (+01)","20:18 (+01)","06:35 (+01)","01:36 (+01)","23:24 (+01)","03:49 (+01)","06 Feb 2025",1738828861,06-02-2025,DD-MM-YYYY,06,Thursday,2,February,2025,AD,"Anno Domini",,07-08-1446,DD-MM-YYYY,7,"Al Khamees",الخميس,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae","Birth of Sayyidina Qasim ibn Hasan (ر)",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
"06:45 (+01)","08:14 (+01)","13:41 (+01)","16:35 (+01)","18:59 (+01)","19:04 (+01)","20:19 (+01)","06:35 (+01)","01:36 (+01)","23:24 (+01)","03:49 (+01)","07 Feb 2025",1738915261,07-02-2025,DD-MM-YYYY,07,Friday,2,February,2025,AD,"Anno Domini",,08-08-1446,DD-MM-YYYY,8,"Al Juma'a",الجمعة,8,Shaʿbān,شَعْبان,29,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0
